Hour,Temperature,Apparent Temperature,Wind,Relative Humidity,Date
22:51,-5°C,-8°C,250°7 Km/h,42%,2016-01-13
23:51,-5°C,-5°C,Calme,42%,2016-01-13
00:51,-5°C,-9°C,Variable à 9 Km/h,39%,2016-01-14
01:51,-6°C,-9°C,"Variable à 6 Km/h, 28 km/h Rafales de Vent",42%,2016-01-14
02:51,-5°C,-8°C,Variable à 6 Km/h,39%,2016-01-14
03:51,-5°C,-5°C,Calme,42%,2016-01-14
04:51,-5°C,-8°C,Variable à 6 Km/h,42%,2016-01-14
05:51,-4°C,-9°C,260°13 Km/h,50%,2016-01-14
06:51,-4°C,-8°C,Variable à 9 Km/h,54%,2016-01-14
07:51,-4°C,-7°C,Variable à 7 Km/h,50%,2016-01-14
08:51,-3°C,-6°C,Variable à 7 Km/h,43%,2016-01-14
09:51,-3°C,-7°C,Variable à 9 Km/h,43%,2016-01-14
10:51,-2°C,-7°C,240°15 Km/h,40%,2016-01-14
11:51,-1°C,-5°C,270°13 Km/h,40%,2016-01-14
12:51,1°C,-2°C,"Variable à 9 Km/h, 28 km/h Rafales de Vent",41%,2016-01-14
13:51,2°C,-2°C,270°15 Km/h,44%,2016-01-14
14:51,2°C,-2°C,280°13 Km/h,48%,2016-01-14
15:51,3°C,3°C,Calme,45%,2016-01-14
16:51,3°C,0°C,280°13 Km/h,48%,2016-01-14
17:51,3°C,2°C,280°6 Km/h,48%,2016-01-14
18:51,3°C,2°C,240°6 Km/h,48%,2016-01-14
19:51,3°C,3°C,Calme,48%,2016-01-14
20:51,3°C,2°C,320°6 Km/h,48%,2016-01-14
21:51,3°C,2°C,Variable à 6 Km/h,48%,2016-01-14
22:51,3°C,2°C,130°6 Km/h,52%,2016-01-14
23:51,3°C,3°C,Calme,52%,2016-01-14
00:51,2°C,0°C,120°6 Km/h,56%,2016-01-15
01:51,3°C,1°C,Variable à 7 Km/h,48%,2016-01-15
02:51,2°C,0°C,Variable à 6 Km/h,60%,2016-01-15
03:51,2°C,0°C,40°7 Km/h,60%,2016-01-15
04:51,2°C,0°C,30°7 Km/h,60%,2016-01-15
05:51,3°C,2°C,30°6 Km/h,60%,2016-01-15
06:51,3°C,1°C,30°7 Km/h,65%,2016-01-15
07:51,3°C,2°C,30°6 Km/h,65%,2016-01-15
08:51,4°C,2°C,60°7 Km/h,65%,2016-01-15
09:51,5°C,3°C,Variable à 7 Km/h,66%,2016-01-15
10:51,6°C,6°C,Calme,61%,2016-01-15
11:51,8°C,7°C,Variable à 6 Km/h,53%,2016-01-15
12:51,9°C,8°C,Variable à 7 Km/h,58%,2016-01-15
13:51,11°C,11°C,170°11 Km/h,50%,2016-01-15
14:51,10°C,10°C,Calme,58%,2016-01-15
15:51,9°C,7°C,160°11 Km/h,66%,2016-01-15
16:51,9°C,7°C,160°15 Km/h,71%,2016-01-15
17:51,9°C,8°C,170°9 Km/h,66%,2016-01-15
18:51,9°C,7°C,170°11 Km/h,62%,2016-01-15
19:51,9°C,8°C,160°7 Km/h,66%,2016-01-15
20:51,9°C,8°C,180°9 Km/h,66%,2016-01-15
21:51,8°C,6°C,60°13 Km/h,76%,2016-01-15
22:51,8°C,6°C,Variable à 9 Km/h,76%,2016-01-15
23:51,8°C,7°C,60°7 Km/h,76%,2016-01-15
00:51,7°C,5°C,60°9 Km/h,81%,2016-01-16
01:06,7°C,5°C,70°13 Km/h,87%,2016-01-16
01:51,7°C,4°C,60°15 Km/h,81%,2016-01-16
01:58,6°C,3°C,80°15 Km/h,87%,2016-01-16
02:16,6°C,2°C,70°20 Km/h,87%,2016-01-16
02:25,6°C,2°C,70°20 Km/h,87%,2016-01-16
02:51,6°C,4°C,60°11 Km/h,87%,2016-01-16
03:51,6°C,4°C,60°11 Km/h,87%,2016-01-16
04:51,6°C,5°C,Variable à 6 Km/h,87%,2016-01-16
05:51,6°C,5°C,Variable à 6 Km/h,87%,2016-01-16
06:51,6°C,3°C,300°13 Km/h,87%,2016-01-16
07:51,6°C,5°C,Variable à 6 Km/h,87%,2016-01-16
08:10,6°C,4°C,Variable à 7 Km/h,87%,2016-01-16
08:17,6°C,6°C,Calme,87%,2016-01-16
08:51,6°C,4°C,Variable à 7 Km/h,87%,2016-01-16
09:43,7°C,5°C,290°9 Km/h,81%,2016-01-16
09:51,7°C,6°C,310°7 Km/h,81%,2016-01-16
10:51,7°C,5°C,290°13 Km/h,81%,2016-01-16
12:11,9°C,6°C,290°17 Km/h,66%,2016-01-16
12:51,10°C,10°C,Calme,62%,2016-01-16
13:51,10°C,7°C,290°20 Km/h,58%,2016-01-16
14:51,11°C,11°C,Variable à 9 Km/h,50%,2016-01-16
15:51,10°C,8°C,290°13 Km/h,50%,2016-01-16
16:51,10°C,8°C,290°17 Km/h,54%,2016-01-16
17:51,8°C,6°C,300°11 Km/h,53%,2016-01-16
18:51,8°C,6°C,Variable à 11 Km/h,53%,2016-01-16
19:51,8°C,7°C,Variable à 7 Km/h,53%,2016-01-16
20:51,7°C,5°C,280°11 Km/h,53%,2016-01-16
21:51,7°C,6°C,Variable à 7 Km/h,53%,2016-01-16
22:51,6°C,3°C,280°17 Km/h,57%,2016-01-16
23:51,6°C,5°C,280°6 Km/h,57%,2016-01-16
00:51,6°C,4°C,270°9 Km/h,57%,2016-01-17
01:25,5°C,1°C,310°19 Km/h,61%,2016-01-17
01:51,5°C,2°C,300°13 Km/h,61%,2016-01-17
02:51,5°C,3°C,300°7 Km/h,61%,2016-01-17
03:15,4°C,4°C,Calme,61%,2016-01-17
03:51,4°C,2°C,Variable à 9 Km/h,56%,2016-01-17
